SID,C_org,Texture,LayerDepth,BulkDensityClass,Stone,C/N,C/S,RootDepth,NumberHorizon,FieldCapacity,WiltingPoint,PoreVolume,Sand,Silt,Clay,DrainageDepth,Drainage%,GroundWaterLevel
158,2.18,SS,03,4,00,10,00,03,01,22,09,35,87,09,04,20,00,99
159,0.83,LS4,03,2,00,10,00,13,02,29,16,47,48,28,24,20,00,99
159,0.40,LTS,20,2,00,10,00,,,31,19,50,41,25,34,20,00,   
160,0.39,SL2,03,4,00,10,00,13,02,15,06,35,90,05,05,20,00,99
160,0.20,ST2,20,3,00,10,00,,,14,06,39,87,05,08,20,00,   
161,0.65,ST2,03,3,00,10,00,05,02,20,09,41,79,10,11,20,00,99
161,0.20,SL4,20,3,00,10,00,,,19,09,43,74,11,15,20,00,   
162,1.00,LS3,03,2,00,10,00,03,01,30,17,47,42,36,22,20,00,99
163,1.41,TU2,03,1,00,10,00,13,02,39,25,53,19,32,49,20,00,99
163,0.49,TU2,20,1,00,10,00,,,38,26,54,18,31,51,20,00,   
164,0.50,SL3,03,3,00,10,00,13,02,19,09,40,80,11,09,20,00,99
164,0.28,LU,20,2,00,10,00,,,24,12,46,63,12,25,20,00,   
165,0.75,LS3,03,2,00,10,00,07,02,29,16,47,44,35,21,20,00,99
165,0.47,LU,20,2,00,10,00,,,29,18,48,40,35,25,20,00,   
166,2.13,LS2,03,2,00,10,00,07,02,32,16,47,37,44,19,20,00,99
166,1.70,LS2,20,1,00,10,00,,,32,16,58,37,44,19,20,00,   
167,0.83,LS4,03,2,00,10,00,07,02,29,16,47,48,28,24,20,00,99
167,0.40,LTS,20,2,00,10,00,,,31,19,50,41,25,34,20,00,   
168,0.45,ST2,03,3,00,10,00,13,02,19,09,41,80,09,11,20,00,99
168,0.26,ST3,20,2,00,10,00,,,21,10,44,72,09,19,20,00,   
169,0.70,SL3,03,3,00,10,00,07,02,21,09,40,77,14,09,20,00,99
